pfam02950	Conotoxin
pfam15734	Migration and invasion-inhibitory
pfam06188	HrpE/YscL/FliH and V-type ATPase subunit E
pfam05474	Semenogelin
pfam10533	Plant zinc cluster domain
pfam04363	Protein of unknown function (DUF496)
pfam10501	Ribosomal subunit 39S
pfam07862	Nif11 domain
pfam19808	Family of unknown function (DUF6291)
pfam13505	Outer membrane protein beta-barrel domain
pfam05262	Borrelia P83/100 protein
pfam09510	Rtt102p-like transcription regulator protein
pfam07610	Protein of unknown function (DUF1573)
pfam05021	NPL4 family
pfam15467	Secretogranin-3
pfam06047	NF-kappa-B-activating protein C-terminal domain
pfam06258	Mitochondrial fission ELM1
pfam01759	UNC-6/NTR/C345C module
pfam19930	Family of unknown function (DUF6393)
pfam15336	Autism susceptibility gene 2 protein
pfam00127	Copper binding proteins, plastocyanin/azurin family
pfam00926	3,4-dihydroxy-2-butanone 4-phosphate synthase
pfam18509	Magnetochrome domain
pfam06039	Malate:quinone oxidoreductase (Mqo)
pfam16253	Domain of unknown function (DUF4909)
pfam01717	Cobalamin-independent synthase, Catalytic domain
pfam08594	Uncharacterised protein family (UPF0300)
pfam17592	Family of unknown function (DUF5489)
pfam19692	Family of unknown function (DUF6193)
pfam00909	Ammonium Transporter Family
pfam11584	Proteinaceous host-selective toxin ToxA
pfam18526	Thymine dioxygenase JBP1 DNA-binding domain
pfam06338	ComK protein
pfam20102	Family of unknown function (DUF6492)
pfam05075	Protein of unknown function (DUF684)
pfam10994	Protein of unknown function (DUF2817)
pfam13100	OstA-like protein
pfam09857	Putative toxin of bacterial toxin-antitoxin pair
pfam18800	Attenuator of Hedgehog
pfam07380	Pneumovirus M2 protein
pfam07535	DBF zinc finger
pfam09635	MetRS-N binding domain
pfam16301	Domain of unknown function (DUF4943)
pfam04090	RNA polymerase I specific initiation factor
pfam15256	SPATIAL
pfam03976	Polyphosphate kinase 2 (PPK2)
pfam17915	Reverse gyrase zinc finger
pfam03177	Non-repetitive/WGA-negative nucleoporin C-terminal
pfam09819	ABC-type cobalt transport system, permease component
pfam08877	MepB protein
pfam15186	Testis-expressed sequence 13 protein family
pfam13164	Diedel 
pfam18864	AbiTii
pfam17856	TIP49 AAA-lid domain
pfam18513	Prodomain subtilisin 2
pfam08627	CRT-like, chloroquine-resistance transporter-like
pfam06270	Protein of unknown function (DUF1030)
pfam08901	Protein of unknown function (DUF1847)
pfam06011	Transient receptor potential (TRP) ion channel
pfam08933	Domain of unknown function (DUF1864)
pfam14069	Stage VI sporulation protein F
pfam09115	DNA polymerase III, delta subunit, C terminal
pfam08518	Spa2 homology domain (SHD) of GIT
pfam12997	Domain of unknown function, E. rectale Gene description (DUF3881)
pfam16207	RAWUL domain RING finger- and  WD40-associated ubiquitin-like
pfam01741	Large-conductance mechanosensitive channel, MscL
pfam18938	Atypical Rib domain
pfam12196	FHA Ki67 binding domain of hNIFK
pfam07760	Protein of unknown function (DUF1616)
pfam07028	Protein of unknown function (DUF1319)
pfam19233	Family of unknown function (DUF5886)
pfam04874	Mak16 protein C-terminal region
pfam09059	TyeA
pfam07306	Protein of unknown function (DUF1455)
pfam19201	Family of unknown function (DUF5873)
pfam00424	REV protein (anti-repression trans-activator protein)
pfam12755	Vacuolar 14 Fab1-binding region
pfam13987	YedD-like protein
pfam11824	Protein of unknown function (DUF3344)
pfam17023	Domain of unknown function (DUF5098)
pfam06540	Galanin message associated peptide (GMAP)
pfam18886	Repeats of unknown function (DUF5649)
pfam13186	Iron-sulfur cluster-binding domain
pfam15164	Williams-Beuren syndrome chromosomal region 28 protein homologue
pfam09017	Microbial transglutaminase
pfam09238	Interleukin-4 receptor alpha chain, N-terminal
pfam08079	Ribosomal L30 N-terminal domain
pfam01667	Ribosomal protein S27
pfam08350	Domain of unknown function (DUF1724)
pfam11674	Protein of unknown function (DUF3270)
pfam19307	Phage capsid-like protein
pfam20044	Family of unknown function (DUF6446)
pfam17799	Rrp7 RRM-like N-terminal domain
pfam07704	Rv0623-like transcription factor
pfam05177	RCSD region
pfam13256	Domain of unknown function (DUF4047)
pfam17016	Domain of unknown function (DUF5095)
pfam00071	Ras family
pfam09370	Phosphoenolpyruvate hydrolase-like
pfam12222	Peptide N-acetyl-beta-D-glucosaminyl asparaginase amidase A
pfam14867	Lantibiotic alpha
pfam11566	PI31 proteasome regulator N-terminal
pfam00210	Ferritin-like domain
pfam15100	TMEM187 protein family
pfam06851	Protein of unknown function (DUF1247)
pfam04624	Dec-1 repeat
pfam02427	Photosystem I reaction centre subunit IV / PsaE
pfam12061	Late blight resistance protein R1 
pfam10467	Peptidase inhibitor clitocypin
pfam03340	Poxvirus rifampicin resistance protein
pfam00021	u-PAR/Ly-6 domain
pfam09320	Domain of unknown function (DUF1977)
pfam03025	Papillomavirus E5
pfam09045	L27_2
pfam18798	Large polyvalent protein-associated domain 3
pfam02477	Nucleocapsid N protein
pfam18246	Oligosaccharyltransferase Insert domain
pfam04674	Phosphate-induced protein 1 conserved region
pfam12737	C-terminal domain of homeodomain 1
pfam00262	Calreticulin family
pfam11624	MHC class I-like protein M157
pfam18686	Family of unknown function (DUF5636)
pfam12400	STIMATE family
pfam08793	2-cysteine adaptor domain
pfam05926	Phage head completion protein (GPL)
pfam06141	Phage minor tail protein U
pfam05127	Helicase
pfam10336	Protein of unknown function (DUF2420)
pfam12749	Eukaryotic metallothionein
pfam01867	CRISPR associated protein Cas1
pfam04566	RNA polymerase Rpb2, domain 4
pfam17073	Two-component-system connector protein
pfam11874	Domain of unknown function (DUF3394)
pfam05538	Campylobacter major outer membrane protein
pfam13496	Domain of unknown function (DUF4120)
pfam08029	HisG, C-terminal domain
pfam15918	Domain of unknown function (DUF4744)
pfam07078	Forty-two-three protein
pfam15501	Nuclear protein MDM1
pfam12464	Maltose acetyltransferase 
pfam14667	Polysaccharide biosynthesis C-terminal domain
pfam15533	Bacterial toxin 33
pfam06651	Protein of unknown function (DUF1163)
pfam00474	Sodium:solute symporter family
pfam07712	Stress up-regulated Nod 19
pfam10734	Protein of unknown function (DUF2523)
pfam08587	Ubiquitin associated domain (UBA) 
pfam04824	Conserved region of Rad21 / Rec8 like protein
pfam05913	DUF871 C-terminal domain
pfam19083	Family of unknown function (DUF5774)
pfam13533	Biotin-lipoyl like
pfam17146	PIN domain of ribonuclease
pfam12486	Type VI secretion system, EvfB, or VasL
pfam19892	Family of unknown function (DUF6365)
pfam17947	Four helical bundle domain
pfam13501	Sulfur oxidation protein SoxY
pfam10505	NMDA receptor-regulated gene protein 2 C-terminus
pfam03913	Ragweed group 5 pollen allergen
pfam18600	MCSS domain
pfam07557	Shugoshin C terminus
pfam09657	CRISPR-associated protein Csx8 (Cas_Csx8)
pfam09835	Uncharacterized protein conserved in bacteria (DUF2062)
pfam20114	Family of unknown function (DUF6504)
pfam14741	N-terminal glycosyl-hydrolase-114-associated domain
pfam09088	MIF4G like
pfam03538	Salmonella virulence plasmid 28.1kDa A protein
pfam17939	Tetracyclin repressor-like, C-terminal domain
pfam13918	PLD-like domain
pfam06220	U1 zinc finger
pfam08677	GP11 baseplate wedge protein
pfam15496	Domain of unknown function (DUF4646)
pfam07519	Tannase and feruloyl esterase
pfam09619	Type III secretion system lipoprotein chaperone (YscW)
pfam18664	CdiA C-terminal tRNase domain
pfam06414	Zeta toxin
pfam17656	FlgA N-terminal domain
pfam19556	PRTRC system protein E
pfam04584	Poxvirus A28 family
pfam08827	Domain of unknown function (DUF1805)
pfam03127	GAT domain
pfam09147	Domain of unknown function (DUF1933)
pfam09946	Predicted membrane protein (DUF2178)
pfam05025	RbsD / FucU transport protein family
pfam05340	Protein of unknown function (DUF740)
pfam18576	Helix-turn-helix domain
pfam02952	L-fucose isomerase, C-terminal domain
pfam09139	Phosphatidate cytidylyltransferase, mitochondrial
pfam11090	Protein of unknown function (DUF2833)
pfam12542	Pre-mRNA splicing factor
pfam08249	Mastoparan protein
pfam18013	Phage tail lysozyme
pfam16931	Putative phage holin
pfam12293	Putative outer membrane core complex of type IVb secretion
pfam04481	Protein of unknown function (DUF561)
pfam13460	NAD(P)H-binding 
pfam00347	Ribosomal protein L6
pfam16903	Major capsid protein N-terminus
pfam15643	Papain fold toxin 2
pfam05288	Poxvirus A3L Protein
pfam08495	FIST N domain
pfam06511	Type III secretion systems tip complex components
pfam09752	Alpha/beta hydrolase domain containing 18 
pfam08018	Frog antimicrobial peptide 
pfam15929	Myofilin
pfam11191	Protein of unknown function (DUF2782)
pfam08237	PE-PPE domain
pfam02746	Mandelate racemase / muconate lactonizing enzyme, N-terminal domain
pfam00339	Arrestin (or S-antigen), N-terminal domain
pfam14569	Zinc-binding RING-finger
pfam06908	YspA SLOG family
pfam05648	Peroxisomal biogenesis factor 11 (PEX11)
pfam02298	Plastocyanin-like domain
pfam18432	Extracellular Cadherin domain
pfam15283	Domain of unknown function (DUF4595) with porin-like fold
pfam08689	Mediator complex subunit Med5
pfam08772	Nin one binding (NOB1) Zn-ribbon like
pfam14382	Exosome complex exonuclease RRP4 N-terminal region
pfam05575	Vibrio cholerae RfbT protein
pfam15153	Cytokine-like protein 1
pfam17092	Penicillin-binding protein OB-like domain
pfam18026	Endo/exonuclease (EXOG) C-terminal domain
pfam06830	Root cap
pfam17883	MBG domain
pfam11084	Protein of unknown function (DUF2621)
pfam00241	Cofilin/tropomyosin-type actin-binding protein
pfam18308	N-terminal extension of GAT domain
pfam13404	AsnC-type helix-turn-helix domain
pfam09225	Restriction endonuclease PvuII
pfam03245	Bacteriophage Rz lysis protein
pfam05158	RNA polymerase Rpc34 subunit
pfam00681	Plectin repeat
pfam07888	Calcium binding and coiled-coil domain (CALCOCO1) like
pfam03685	Uncharacterised protein family (UPF0147)
pfam07035	Colon cancer-associated protein Mic1-like
pfam02344	Myc leucine zipper domain
pfam08303	tRNA ligase kinase domain
pfam11965	Domain of unknown function (DUF3479)
pfam06162	Putative pyroglutamyl peptidase PgaPase_1
pfam08331	Domain of unknown function (DUF1730)
pfam05685	Putative restriction endonuclease
pfam08858	IDEAL domain
pfam19873	Family of unknown function (DUF6346)
pfam04234	CopC domain
pfam03158	Multigene family 530 protein
pfam07149	Pes-10
pfam02489	Herpesvirus glycoprotein H main domain
pfam18925	Family of unknown function (DUF5675)
pfam12632	Mysoin-binding motif of peroxisomes
pfam11066	Protein of unknown function (DUF2867)
pfam13153	Protein of unknown function (DUF3985)
pfam19616	Family of unknown function (DUF6121)
pfam17516	ProQ C-terminal domain
pfam03575	Peptidase family S51
pfam09878	Predicted membrane protein (DUF2105)
pfam18853	Large polyvalent protein associated domain 37
pfam05499	DNA methyltransferase 1-associated protein 1 (DMAP1)
pfam00571	CBS domain
pfam12561	ToxR activated gene A lipoprotein domain
pfam07137	VDE lipocalin domain
pfam15404	Pleckstrin homology domain
pfam07936	Potassium-channel blocking toxin
pfam07845	Protein of unknown function (DUF1636)
pfam03648	Glycosyl hydrolase family 67 N-terminus
pfam07528	DZF domain
pfam09628	YvfG protein
pfam01710	Transposase
pfam19949	Family of unknown function (DUF6411)
pfam13929	mRNA stabilisation
pfam00120	Glutamine synthetase, catalytic domain
pfam12112	Protein of unknown function (DUF3579)
pfam09559	Cas6 Crispr
pfam13283	Bacteriophage N adsorption protein A C-term
pfam07659	Nucleotide modification associated domain 1
pfam06040	Adenovirus E3 protein
pfam15460	Something about silencing, SAS, complex subunit 4
pfam19623	Family of unknown function (DUF6128)
pfam13643	Domain of unknown function (DUF4145)
pfam17523	MinK-related peptide, potassium channel accessory sub-unit protein 4
pfam06325	Ribosomal protein L11 methyltransferase (PrmA)
pfam19136	Family of unknown function (DUF5819)
pfam19937	Gliding motility-associated protein GldC-like
pfam14762	Hermansky-Pudlak syndrome 3, middle region
pfam09517	Eco29kI restriction endonuclease
pfam07617	Protein of unknown function (DUF1579)
pfam08579	Mitochondrial ribonuclease P subunit (RPM2)
pfam03288	Poxvirus D5 protein-like
pfam05038	Cytochrome Cytochrome b558 alpha-subunit
pfam05217	STOP protein
pfam06375	AP-3 complex subunit delta-1 
pfam08658	Rad54 N terminal
pfam19673	Family of unknown function (DUF6176)
pfam17573	GA-like domain
pfam07155	ECF-type riboflavin transporter, S component
pfam10906	MIOREX complex component 7 
pfam08529	NusA N-terminal domain
pfam15412	Binding domain of Nse4/EID3 to Nse3-MAGE
pfam10107	Endonuclease related to archaeal Holliday junction resolvase
pfam12832	MFS_1 like family
pfam14710	Respiratory nitrate reductase alpha N-terminal
pfam13979	SopA-like catalytic domain
pfam15033	Kinocilin protein
pfam12160	Fibrinogen alpha C domain
pfam05259	Herpesvirus glycoprotein L
pfam18653	Arcadin 1
pfam07578	Lipid A Biosynthesis N-terminal domain
pfam09678	Cytochrome c oxidase caa3 assembly factor (Caa3_CtaG)
pfam15001	AP-5 complex subunit sigma-1
pfam19816	Family of unknown function (DUF6299)
pfam08087	Conotoxin O-superfamily
pfam02895	Signal transducing histidine kinase, homodimeric domain
pfam01762	Galactosyltransferase
pfam00170	bZIP transcription factor
pfam00521	DNA gyrase/topoisomerase IV, subunit A
pfam03848	Tellurite resistance protein TehB
pfam09828	Chromate resistance exported protein
pfam03525	Meiotic recombination protein rec114
pfam07645	Calcium-binding EGF domain
pfam09545	AccI restriction endonuclease
pfam08148	DSHCT (NUC185) domain
pfam19955	Effector-associated domain 1
pfam05189	RNA 3'-terminal phosphate cyclase (RTC), insert domain
pfam05311	Baculovirus 33KDa late protein (PP31)
pfam07859	alpha/beta hydrolase fold
pfam18143	HAD domain in Swiss Army Knife RNA repair proteins
pfam19823	Domain of unknown function (DUF6305)
pfam13843	Transposase IS4
pfam02199	Saposin A-type domain
pfam16791	Connexin 40 C-terminal domain
pfam04066	Multiple resistance and pH regulation protein F (MrpF / PhaF)
pfam18975	Family of unknown function (DUF5711)
pfam07817	GLE1-like protein
pfam12104	T cell CD4 receptor C terminal region
pfam07285	Protein of unknown function (DUF1444)
pfam12453	Protein tyrosine phosphatase N terminal 
pfam17309	Family of unknown function (DUF5356)
pfam19797	Family of unknown function (DUF6281)
pfam06110	Eukaryotic protein of unknown function (DUF953)
pfam19056	WD40 repeated domain
pfam15843	Domain of unknown function (DUF4719)
pfam01382	Avidin family
pfam07394	Protein of unknown function (DUF1501)
pfam04084	Origin recognition complex subunit 2 
pfam08255	Trp-operon Leader Peptide
pfam04965	Baseplate wedge protein gp25
pfam18076	Formylglycinamide ribonucleotide amidotransferase N-terminal
pfam02458	Transferase family
pfam10980	Protein of unknown function (DUF2787)
pfam05525	Branched-chain amino acid transport protein
pfam05848	CtsR N-terminal HTH domain
pfam12042	Tubuliform egg casing silk strands structural domain
pfam11590	DNA polymerase catalytic subunit Pol
pfam03311	Cornichon protein
pfam09275	Pertussis toxin S4 subunit
pfam03189	Otopetrin
pfam08889	WbqC-like protein family
pfam13001	Proteasome stabiliser
pfam10005	zinc-ribbon domain
pfam13033	Protein of unknown function (DUF3894)
pfam19583	ODP family beta lactamase
pfam06630	Enterobacterial exodeoxyribonuclease VIII
pfam17683	TFIIF, beta subunit N-terminus
pfam03259	Roadblock/LC7 domain
pfam15979	Glycosyl hydrolase family 115
pfam07796	Protein of unknown function (DUF1638)
pfam07057	DNA helicase TraI
pfam08722	TnsA endonuclease N terminal
pfam07248	Protein of unknown function (DUF1431)
pfam03885	Protein of unknown function (DUF327)
pfam03217	Surface layer protein A domain
pfam03038	UL95 family
pfam00881	Nitroreductase family
pfam07688	KaiA C-terminal domain
pfam09588	YqaJ-like viral recombinase domain
pfam17243	POTRA domain TamA domain 1
pfam07019	EMC6
pfam04191	Phospholipid methyltransferase 
pfam01569	PAP2 superfamily
pfam13412	Winged helix-turn-helix DNA-binding
pfam14604	Variant SH3 domain
pfam07318	Protein of unknown function (DUF1464)
pfam12407	Homeobox protein 
pfam05120	Gas vesicle protein G
pfam02202	Tachykinin family
pfam04699	ARP2/3 complex 16 kDa subunit (p16-Arc)
pfam11195	Protein of unknown function (DUF2829) 
pfam06992	Replication protein P
pfam03339	Poxvirus L3/FP4 protein
pfam06515	Borna disease virus P10 protein
pfam08491	Squalene epoxidase
pfam02470	MlaD protein
pfam17313	Family of unknown function (DUF5359)
pfam17724	Family of unknown function (DUF5568)
pfam14812	Transmembrane domain of transglycosylase PBP1 at N-terminal
pfam12730	ABC-2 family transporter protein
pfam16935	Putative Holin-like Toxin (Hol-Tox)
pfam01132	Elongation factor P (EF-P) OB domain
pfam04485	Phycobilisome degradation protein nblA 
pfam09327	Domain of unknown function (DUF1983)
pfam03347	Vibrio thermostable direct hemolysin
pfam10460	Peptidase M30
pfam11961	Domain of unknown function (DUF3475)
pfam11899	Protein of unknown function (DUF3419)
pfam16846	Centromere DNA-binding protein complex CBF3 subunit B
pfam08580	Yeast cortical protein KAR9
